"","ClaimDate","ClaimAmount"
"1","2024-06-07",3807.95
"2","2023-05-30",9512.07
"3","2022-09-27",7346.74
"4","2023-06-25",6026.72
"5","2023-07-24",1644.58
"6","2023-08-09",1644.35
"7","2024-05-01",675.03
"8","2023-10-24",8675.14
"9","2023-07-31",6051.04
"10","2024-04-13",7109.92
"11","2023-01-14",303.79
"12","2024-06-22",9702.11
"13","2022-10-03",8341.18
"14","2023-09-29",2202.16
"15","2023-03-11",1900.07
"16","2023-09-15",1915.7
"17","2023-01-30",3112
"18","2023-06-13",5295.09
"19","2023-06-26",4376.26
"20","2024-01-26",2983.17
"21","2023-02-01",6157.34
"22","2023-01-11",1480.99
"23","2023-08-25",2992.23
"24","2023-06-14",3726.98
"25","2023-03-19",4615.09
"26","2023-03-14",7873.24
"27","2023-05-26",2076.77
"28","2023-10-31",5190.92
"29","2023-06-20",5964.9
"30","2023-03-13",559.86
"31","2023-01-03",6114.69
"32","2022-12-04",1788.19
"33","2024-04-15",744.01
"34","2024-03-11",9493.97
"35","2023-06-15",9659.76
"36","2023-06-10",8103.13
"37","2022-07-31",3115.68
"38","2023-09-05",1066.95
"39","2022-11-11",6873.91
"40","2024-01-06",4457.51
"41","2023-07-14",1308.18
"42","2022-08-09",5002.25
"43","2024-05-06",440.45
"44","2022-07-09",9102.27
"45","2024-06-16",2661.92
"46","2024-05-29",6658.97
"47","2023-12-30",3185.94
"48","2022-10-29",5248.67
"49","2023-03-05",5512.43
"50","2022-09-18",1930.06
"51","2023-08-16",9698.89
"52","2023-08-08",7773.81
"53","2023-01-09",9401.04
"54","2023-02-08",8958.79
"55","2022-12-12",6019.21
"56","2023-09-29",9226.55
"57","2023-07-26",976.08
"58","2024-04-12",2040.23
"59","2024-05-27",547.75
"60","2024-05-20",3320.77
"61","2024-03-02",3947.91
"62","2023-06-29",2786.36
"63","2024-02-19",8304.5
"64","2022-10-12",3631.86
"65","2023-07-09",2881.25
"66","2023-11-24",5472.69
"67","2023-07-30",1495.15
"68","2024-01-01",8041.75
"69","2023-03-09",838.05
"70","2024-06-23",9870.18
"71","2023-10-12",7745.22
"72","2023-12-21",2067.29
"73","2023-08-09",154.67
"74","2023-05-10",8173.07
"75","2022-12-27",7097.89
"76","2024-02-13",7317.17
"77","2022-12-27",7735.58
"78","2024-05-15",833.04
"79","2024-01-18",3648.81
"80","2024-02-02",1247.1
"81","2023-01-18",8644.72
"82","2022-10-16",6270.65
"83","2023-06-12",3375.89
"84","2022-08-13",729.23
"85","2022-11-14",3178.72
"86","2023-10-25",3319.31
"87","2022-08-12",7323.1
"88","2024-06-14",6411.82
"89","2023-07-03",8883.41
"90","2023-05-23",4774.93
"91","2023-04-09",1283.98
"92","2023-10-19",7161.12
"93","2023-12-07",7631.77
"94","2024-03-05",5656.64
"95","2023-07-05",7732.58
"96","2023-08-20",4988.58
"97","2023-11-21",5275.06
"98","2024-03-01",4332.66
"99","2023-09-02",351.65
"100","2023-06-28",1168.13
"101","2023-05-21",411.15
"102","2022-09-24",6400.46
"103","2023-08-21",3212.12
"104","2024-06-20",5134.85
"105","2023-05-30",9084.91
"106","2022-09-03",2567.99
"107","2024-03-06",4162.79
"108","2023-06-26",7579.96
"109","2023-08-25",2365.1
"110","2023-06-24",862.1
"111","2024-05-16",2968.54
"112","2023-10-13",1696.09
"113","2023-11-30",9304.01
"114","2023-06-01",8100.39
"115","2023-01-05",6370.7
"116","2022-11-11",8727.46
"117","2022-12-28",8056.35
"118","2023-07-15",1947.04
"119","2022-10-22",8936.33
"120","2024-01-22",5439.49
"121","2023-05-18",8093.66
"122","2023-11-20",8971.3
"123","2023-05-23",3248.23
"124","2022-07-09",1189.51
"125","2023-11-24",2356.56
"126","2022-10-09",4328.37
"127","2024-04-17",8198.35
"128","2023-07-31",8621.23
"129","2023-10-18",168.83
"130","2023-06-05",5156.4
"131","2022-11-13",4232.37
"132","2023-04-29",2298.87
"133","2022-10-31",1286.67
"134","2024-03-15",3442.39
"135","2023-10-07",9434.81
"136","2023-04-21",3299.71
"137","2023-01-02",5236.03
"138","2023-07-17",7059.89
"139","2022-12-17",3699.93
"140","2023-01-31",9720.64
"141","2023-08-15",9628.23
"142","2022-08-26",2592.64
"143","2024-04-14",5022.76
"144","2022-11-04",3078.7
"145","2023-08-14",2919.92
"146","2023-05-04",465.18
"147","2023-12-03",6134.69
"148","2023-01-28",5076.52
"149","2024-02-23",609.64
"150","2022-11-15",2858.6
"151","2023-05-27",9091.83
"152","2023-02-26",2471.66
"153","2024-02-10",1534.46
"154","2024-06-18",4945.58
"155","2023-08-12",9857.94
"156","2022-09-04",2496.35
"157","2023-07-03",6754.14
"158","2023-09-06",7640.03
"159","2024-02-25",2452.61
"160","2024-04-20",7309.34
"161","2022-10-04",3741.05
"162","2023-05-13",6359.83
"163","2023-07-20",6371.94
"164","2024-05-20",5404.17
"165","2024-02-18",993.87
"166","2023-01-04",8369.49
"167","2023-12-16",3275.72
"168","2022-10-04",1946.53
"169","2024-06-26",503.67
"170","2023-11-30",5949.84
"171","2023-10-30",6807.89
"172","2022-07-29",264.22
"173","2023-06-05",5169.72
"174","2023-08-08",2342.31
"175","2024-03-23",6487.21
"176","2022-08-14",1826.23
"177","2024-06-20",6940.28
"178","2022-10-13",3928.68
"179","2024-01-13",9373.63
"180","2022-09-13",1461.46
"181","2024-07-07",3476.56
"182","2022-08-08",1223.39
"183","2023-03-26",9254.47
"184","2022-08-13",8785.66
"185","2022-12-06",2653.62
"186","2023-05-26",6633.84
"187","2023-04-30",8190.5
"188","2024-04-19",5596.49
"189","2023-12-25",5343.54
"190","2023-02-10",2494.34
"191","2024-01-01",1021.72
"192","2024-01-15",8982.44
"193","2023-09-03",9014.14
"194","2024-05-31",6367.7
"195","2024-06-16",3456.39
"196","2023-09-20",3557.17
"197","2022-10-27",7286.96
"198","2023-05-01",8981.39
"199","2022-10-26",8882.16
"200","2022-10-18",7820.77
"201","2024-04-01",6456.11
"202","2023-05-16",932.99
"203","2023-04-16",1700.12
"204","2024-07-04",8995.69
"205","2023-06-20",6103.65
"206","2024-02-04",191.05
"207","2024-03-02",1104.57
"208","2023-09-19",6668.67
"209","2022-09-12",150.11
"210","2023-12-01",1692
"211","2023-03-07",5532.46
"212","2024-05-02",6949.76
"213","2024-02-10",6554.42
"214","2023-09-14",2320.27
"215","2023-02-26",7150.57
"216","2023-03-05",2448.77
"217","2022-08-11",3321.46
"218","2022-08-02",7490.26
"219","2023-05-07",6531.37
"220","2022-10-23",8507.31
"221","2023-09-21",6610.37
"222","2023-02-18",5726.26
"223","2024-05-19",1027.38
"224","2024-02-21",3740.39
"225","2024-05-31",2725.5
"226","2022-09-13",2515.5
"227","2023-09-13",9732.8
"228","2024-07-05",3991.67
"229","2022-09-07",8931.26
"230","2023-03-15",6348.27
"231","2024-05-03",7968.63
"232","2022-09-28",5076.11
"233","2023-02-26",5811.35
"234","2024-05-30",4975.93
"235","2023-03-07",2032.91
"236","2023-11-20",7252.28
"237","2023-03-24",2879.65
"238","2023-05-19",340.73
"239","2024-06-21",6490.18
"240","2023-08-11",1853.4
"241","2023-06-24",9410.54
"242","2023-11-11",9543.89
"243","2022-11-14",9157.16
"244","2023-06-05",3764.57
"245","2023-01-18",253.02
"246","2023-10-01",9290.35
"247","2024-04-08",4339.02
"248","2024-05-27",9669.88
"249","2024-03-11",9639.84
"250","2023-05-04",8544.79
"251","2023-03-01",3015.04
"252","2022-09-06",3912.47
"253","2023-11-19",8526.25
"254","2022-11-28",3237.53
"255","2023-01-15",1777.98
"256","2023-08-22",5612.33
"257","2023-09-25",9367.93
"258","2023-12-20",6990.69
"259","2023-03-11",5743.61
"260","2023-07-17",1062.05
"261","2023-06-16",6188.57
"262","2023-05-10",9901.53
"263","2024-05-20",1486.83
"264","2023-05-07",5231.46
"265","2023-05-21",8785.99
"266","2023-12-08",7433.61
"267","2022-12-08",7000.46
"268","2024-03-10",7054.59
"269","2023-02-06",3658.96
"270","2023-05-11",3006.56
"271","2023-04-15",8112.68
"272","2023-09-01",8120.12
"273","2023-11-12",8684.02
"274","2022-09-07",9141.08
"275","2022-08-05",5162.29
"276","2022-09-18",5065.01
"277","2022-09-13",8003.12
"278","2024-01-18",6534.64
"279","2023-08-19",7049.47
"280","2022-11-01",7978.35
"281","2023-11-15",8911.05
"282","2023-03-02",3446.15
"283","2024-05-23",3818.27
"284","2024-01-15",1030.42
"285","2022-07-23",5824.97
"286","2023-01-06",455.83
"287","2023-01-29",4709.42
"288","2022-09-28",5472.18
"289","2022-12-24",2936.76
"290","2024-05-07",5949.25
"291","2022-08-01",401.95
"292","2024-05-31",469.75
"293","2023-11-13",8243.75
"294","2022-11-16",3665.89
"295","2024-05-09",1357.9
"296","2024-06-20",5270.21
"297","2024-06-25",7722.94
"298","2024-03-27",2236.63
"299","2023-04-20",6266.62
"300","2022-12-23",944.94
"301","2023-02-05",611.65
"302","2023-01-05",5360.41
"303","2022-10-02",5452.29
"304","2024-05-23",6410.56
"305","2022-08-09",7288.3
"306","2022-10-22",9760.94
"307","2023-08-15",5211.37
"308","2023-08-26",3297.27
"309","2023-06-14",7972.34
"310","2022-08-25",2781.24
"311","2024-04-04",4445.82
"312","2023-07-05",876.72
"313","2023-01-13",350.97
"314","2023-09-08",9630.22
"315","2023-10-10",8376.2
"316","2023-07-24",6990.14
"317","2022-12-27",4148.63
"318","2023-07-08",1815.61
"319","2023-02-05",1648.73
"320","2023-09-28",2577.4
"321","2023-07-12",5537.34
